question5 = "Please describe what are users' rights related to the data items found in your response to question2"	20 clusters
CAGPT:  The right to opt out of our sale or sharing of your personal information user right
CAGPT:  Right to opt-out of the sale of personal information.
CAGPT:  Right to opt-out of the sale of personal information
CAGPT:  Right to opt-out of the selling and sharing of Personal Identifiers, Internet Activity, Commercial Information, and Financial Information
CAGPT:  Right to opt-out of the sale of their data
CAGPT: . Item 2 user right: The Right to Opt-Out of the Share and Sale of Your Personal Data
CAGPT:  Users have the right to opt out of the sale or sharing of their personal information
CAGPT:  Right to Opt-Out of sale/sharing for "Commercial Information"
CAGPT:  Right to opt-out of sales of personal information to third parties
CAGPT:  Right to Opt Out of Sales and Sharing for Cross-context Behavioral Advertising
CAGPT:  Right to Opt-Out of the Sale of Personal Information or Sharing for Cross-Context Behavioral Advertising.
CAGPT:  Users have the right to opt-out of the sale of their personal information
CAGPT:  The right to opt-out of the sale of personal information.
CAGPT:  Users have the right to opt-out of the sale or sharing of their commercial information.
CAGPT: . Right to opt-out of the sharing of personal information.
CAGPT:  Right to opt-out of sharing for cross-contextual behavioral advertising
CAGPT:  Right to opt-out from selling personal information
CAGPT:  Right to opt-out of the sale of personal information
CAGPT:  Right to opt-out of sale/sharing for internet or other similar network activity
CAGPT:  Right to Opt-Out of selling and sharing personal information
CAGPT:  Right to opt-out of sharing of personal information for cross-context behavioral advertising purposes
CAGPT:  Right to opt-out of the sale or sharing of personal information
CAGPT:  Right to opt-out of the sale or sharing of personal information
CAGPT:  Right to Opt Out of Sale/Sharing
CAGPT:  You have the right to opt-out of the selling and sharing of your personal information.
CAGPT:  Users have the right to opt out of "sales" or "sharing" of their personal information
CAGPT:  Right to opt-out of sharing personal information for targeting advertising
CAGPT:  Right to opt-out of sale of personal information
CAGPT:  Right to Opt-Out of Sales  
CAGPT:  Right to Opt-Out of Sharing  
CAGPT:  Right to opt out of the sale or sharing of personal information.
---------------------------
Cluster 4
GPT:  Users have the right to opt-out of marketing communications based on information collected from promotions
GPT:  Right to unsubscribe from email communications
GPT:  Right to opt-out of marketing communications
GPT:  Right to opt-out of promotional offers and advertising.
GPT:  Right to unsubscribe from marketing mailing lists
GPT:  Right to opt-out of receiving marketing communications  
GPT:  Right to opt-out of marketing communications
GPT:  Users have the right to opt-out of promotional communications.
GPT:  Right to opt-out of marketing communications
GPT:  Right to opt-out of promotional or editorial e-mails
GPT:  Users have the right to opt-out of receiving promotional emails by following unsubscribe instructions.
GPT:  Users have the right to opt out of receiving promotional or editorial content e-mails.
GPT:  Users have the right to opt-out of receiving marketing communications.
GPT:  Right to opt-out of marketing communications
GPT:  Users have the right to opt-out from receiving future commercial communications.
GPT:  The right to opt-out of marketing communications
GPT:  Users have the right to opt-out of promotional or editorial content e-mails.
GPT:  Right to opt-out of future promotional offers.
GPT:  Users have the right to opt-out of cookies and promotional correspondence.
GPT:  Right to unsubscribe from receiving Marketing Materials
GPT:  Right to opt out of direct marketing communications
GPT:  Right to unsubscribe from marketing communications
GPT:  Right to opt-out of receiving promotional communications.
GPT:  Users have the right to opt-out of receiving promotional email communications.
GPT:  Right to opt out of marketing communications
GPT:  Right to opt-out of promotional or editorial content emails.
GPT:  Users have the right to unsubscribe from marketing communications or opt out of receiving SMS or text messages.
GPT:  Users can opt-out of marketing communications.
GPT:  Marketing and Communications Data user right to opt-out of marketing communications
GPT:  Right to opt out of direct marketing communications.
GPT:  Right to opt out of marketing communications
GPT:  Right to opt-out of promotional or editorial content emails
GPT:  Users have the right to opt-out of promotional or editorial content e-mails.
GPT:  Marketing and Communications Data user right to control marketing preferences or delete
CAGPT:  Right to opt-out from marketing communications
---------------------------
Cluster 5
GPT:  Right to non-discrimination for exercising privacy rights.
GPT:  Right to non-discrimination for exercising privacy rights
GPT:  Right to not be discriminated against for exercising privacy rights.
GPT:  Non-Discrimination Rights for exercising privacy rights.
CAGPT:  Right not to be discriminated against for exercising CCPA rights
CAGPT:  Users have the right to non-discrimination for exercising their privacy rights.
CAGPT:  Be free from unlawful discrimination for exercising CCPA rights
CAGPT:  Right of non-discrimination as defined under CCPA
CAGPT:  Right to non-discrimination for the exercise of privacy rights
CAGPT:  Right not to receive discriminatory treatment for the exercise of privacy rights
CAGPT:  Right to non-discrimination for exercising privacy rights
CAGPT:  The right to non-discrimination for exercising CCPA rights
CAGPT:  Right to non-discrimination for exercising CCPA rights.
CAGPT:  Right not to receive discriminatory treatment for exercising privacy rights related to geolocation data
CAGPT:  Right to not receive discriminatory treatment for exercising CCPA rights
CAGPT:  Right of Non-Discrimination for exercising CCPA rights
CAGPT:  Right against discrimination for exercising CCPA rights regarding internet or similar network activity data
CAGPT:  Right to non-discrimination for exercising CCPA rights
CAGPT:  Right not to be discriminated against for exercising privacy rights
CAGPT:  Right to Non-Discrimination for the Exercise of Privacy Rights
CAGPT:  The right to non-discrimination for exercising privacy rights
CAGPT:  Right to non-discrimination for exercising CCPA rights
CAGPT:  Right to not be discriminated against for exercising CCPA rights
CAGPT:  Right to non-discrimination for exercising CCPA rights.\n
CAGPT:  Right to non-discrimination for exercising CCPA rights
CAGPT:  Users have the right not to be discriminated against for exercising their privacy rights.
CAGPT:  Right to non-discrimination for the exercise of a consumer's privacy rights.
CAGPT:  Internet or other similar network activity user right to not be discriminated against for exercising CCPA rights
CAGPT:  Right to non-discrimination for the exercise of privacy rights
CAGPT:  Right to non-discrimination for exercising CCPA rights
CAGPT:  Right to non-discrimination for exercising CCPA rights
CAGPT:  Right to Non-Discrimination for exercising privacy rights.
CAGPT:  Right to non-discrimination for the exercise of privacy rights
CAGPT:  Right to Non-Discrimination: For exercising CCPA privacy rights
CAGPT:  Right to non-discrimination for the exercise of a consumer's privacy rights
CAGPT:  The right not to receive discriminatory treatment for the exercise of privacy rights; user right
CAGPT:  The right not to be discriminated against for exercising their rights under the CCPA
CAGPT:  Right to non-discrimination for exercising privacy rights
CAGPT:  Right to non-discrimination for exercising CCPA rights
CAGPT:  Right to not receive discriminatory treatment for exercising CCPA privacy rights
CAGPT:  Right to non-discrimination for the exercise of privacy rights.
CAGPT:  Right to non-discrimination for exercising CCPA rights
CAGPT:  Right to not be discriminated against for exercising privacy rights
CAGPT:  Right to Non-Discrimination/Equal Service for exercising CCPA rights.
CAGPT:  Right to nondiscrimination for exercising their privacy rights
CAGPT:  Right to non-discrimination for exercising privacy rights
CAGPT:  Right not to be discriminated against for exercising CCPA rights.
CAGPT:  The right not to receive discriminatory treatment for the exercise of the privacy rights user right
CAGPT:  Right to not be discriminated against for exercising privacy rights.
CAGPT:  Right to non-discrimination for exercising their consumer privacy rights
CAGPT:  Right to non-discrimination when exercising CCPA rights
CAGPT:  Users have the right to non-discrimination for exercising their privacy rights
CAGPT:  Right to be free from discrimination for exercising privacy rights
CAGPT:  The right to non-discrimination for the exercise of privacy rights.
CAGPT:  Right to non-discrimination for exercising CCPA rights.
CAGPT:  Right to non-discrimination for exercising privacy rights
CAGPT:  Right not to be discriminated against for exercising CCPA rights.
CAGPT:  Right to Non-Discrimination for exercising CCPA privacy rights
CAGPT:  Right to non-discrimination for exercising CCPA rights
CAGPT:  Right to no discrimination for exercising CCPA privacy rights
CAGPT:  Right to non-discrimination under CCPA.
CAGPT:  Users have the right not to be discriminated against for exercising their privacy rights
---------------------------
Cluster 6
GPT:  Right to object to processing based on legitimate interests  
GPT:  Right to object to processing based on legitimate interests
GPT:  Right to object to the processing of personal information based on legitimate interests.
GPT:  Right to object to processing based on legitimate interests or direct marketing.
GPT:  Right to object to processing based on legitimate interests or direct marketing
GPT:  Right to object to processing based on legitimate interests or the performance of a task in the public interest/exercise of official authority, including profiling.
GPT:  Right to object to processing based on legitimate interests
GPT:  Right to object to processing based on legitimate interests
---------------------------
Cluster 7
GPT:  Personal Information user right: right to know, disclosure, erasure, opt-out, and non-discrimination.
GPT:  Name user right to request access and correction
GPT:  Personal Identifiers user right to access, correct, and delete
GPT:  Commercial Information user right to access and delete
GPT:  Name user right to access and correct their data
GPT:  Commercial Information user right to deletion
GPT:  Identity Data user right to request access
GPT:  Contact Data user right to request correction
GPT:  Identity Data user right to request access and correction
GPT:  Contact Data user right to request access and correction
GPT:  Name user right to access and correct.
GPT:  Internet or other electronic network activity information user right to update, modify, delete or obtain a copy.
GPT:  Geolocation data user right: Right to access and request deletion.
GPT:  Geolocation data user right to access and correct
GPT:  Identifiers user right: Right to access, rectify, delete, or restrict processing.
GPT:  Name user right to access and rectification
GPT:  Address user right to access and rectification
GPT:  Address user right to access and correct information
GPT:  Identity Data user right to access, correct or delete
GPT:  Contact Data user right to access, correct or delete
GPT:  Technical Data user right to access, correct, or delete
GPT:  Profile Data user right to access, correct, or delete
CAGPT:  Identifiers user right to know, request deletion, and opt-out of sale
CAGPT:  Internet or other similar network activity user right to know, request deletion, and opt-out of sale
CAGPT:  Identifiers user right: Right to know, delete, correct, opt-out.
CAGPT:  Financial Information user right: Right to know, delete.
CAGPT:  Demographic Information user right: Right to know, delete, correct, limit use.
CAGPT:  Location Information user right: Right to know, delete, opt-out.
CAGPT:  Commercial Information user right: Right to know, delete.
CAGPT:  User Content user right: Right to know, delete.
CAGPT:  Profile Information user right: Right to know, delete, correct.
CAGPT:  Identifiers user right includes access, correction, deletion, and portability.
CAGPT:  Online identifiers user right includes access, correction, opt-out of selling or sharing, and deletion.
CAGPT:  Login information user right to know, correct, and delete.
CAGPT:  Professional or employment information user right to know, correct, and delete.
CAGPT:  Other information user right to know, correct, and delete.
CAGPT:  Identifiers user right: The right to access, the right to deletion, the right to nondiscrimination, the right to opt-out of the sale
CAGPT:  Commercial Data user right: The right to access, the right to deletion, the right to nondiscrimination, the right to opt-out of the sale
CAGPT: . Financial Data user right: The right to access, the right to deletion, the right to nondiscrimination
CAGPT:  Internet Data user right: The right to access, the right to deletion, the right to nondiscrimination, the right to opt-out of the sale
CAGPT:  Geo-location Data user right: The right to access, the right to deletion, the right to nondiscrimination, the right to opt-out of the sale
CAGPT:  Identifiers user right to access, correct, delete, and opt out of targeted advertising
CAGPT:  Personal Characteristics user right to access, correct, and delete
CAGPT:  Commercial Data user right to access, correct, delete, and opt out of targeted advertising
CAGPT:  Internet/Electronic Activity user right to access, correct, delete, and opt out of targeted advertising
CAGPT:  Sensory Data user right to access, correct, and delete
CAGPT:  Inferences user right to access, correct, and delete
CAGPT:  Government ID Data user right to access, correct, and delete
CAGPT:  Internet or other electronic network activity information right to access, object to processing, request correction or deletion
CAGPT:  Identifiers user right: Request disclosure, copy of personal information, deletion, and not to be sold
CAGPT:  Information protected against security breaches user right: Request disclosure, copy of personal information, deletion, and not to be sold
CAGPT:  Protected classification information user right: Request disclosure, copy of personal information, deletion, and not to be sold
CAGPT:  Internet/electronic activity user right: Request disclosure, copy of personal information, deletion, and not to be sold
CAGPT:  Commercial information user right: Request disclosure, copy of personal information, deletion, and not to be sold
CAGPT:  Geolocation user right: Request disclosure, copy of personal information, deletion, and not to be sold
CAGPT:  Audio/video data user right: Request disclosure, copy of personal information, deletion, and not to be sold
CAGPT:  Biometrics user right: Request disclosure, copy of personal information, deletion, and not to be sold
CAGPT:  Personal and online identifiers user right: Right to know, correct, delete, and opt-out of sale or sharing
CAGPT:  Commercial or transactions information user right: Right to know, correct, delete, and opt-out of sale or sharing
CAGPT:  Internet or other electronic network activity information user right: Right to know, correct, delete, and opt-out of sale or sharing
CAGPT:  Geolocation information user right: Right to know, correct, delete
CAGPT:  Professional or employment-related information user right: Right to know, correct, delete
CAGPT:  Inferences drawn from the above information about predicted characteristics and preferences user right: Right to know, correct, delete, and opt-out of sale or sharing
CAGPT:  Right to request deletion of identifiers
CAGPT:  Identifiers user right to access specific information, data portability, and deletion
CAGPT:  Internet or other similar network activity user right to access specific information, data portability, and deletion
CAGPT:  Geolocation data user right to access specific information, data portability, and deletion
CAGPT:  Professional or employment-related information user right to access specific information, data portability, and deletion
CAGPT:  Identifiers user right includes right to request disclosure of the categories and specific pieces of personal information collected, and the right to request deletion.
CAGPT:  Commercial information user right includes right to request disclosure of collected categories, specific pieces, and deletion.
CAGPT:  Internet or other electronic network activity information user right includes right to know about the collected data and the right to request deletion.
CAGPT:  Geolocation data user right includes right to demand disclosure of collection practices and to request deletion of the data.
CAGPT:  Identifiers user right to request disclosure of specific information collected
CAGPT:  Personal Information and Identifiers user right to know and request deletion
CAGPT:  Commercial Information user right to know and request deletion
CAGPT:  Internet and Network Information user right to know and request deletion
CAGPT:  Personal Identifiers user right to access, delete, correct, opt-out of sale/sharing
CAGPT:  Internet Activity user right to access, delete, correct, opt-out of sale/sharing
CAGPT:  Commercial Information user right to access, delete, correct, opt-out of sale/sharing
CAGPT:  Financial Information user right to access, delete, correct, opt-out of sale/sharing
CAGPT:  Inferences from Other Data user right to access, delete, correct, opt-out of sale/sharing
CAGPT:  Identifiers user right to know, delete, correct, and opt-out of sales or sharing
CAGPT:  Internet or other electronic network activity information user right to know, delete, correct, and opt-out of sales or sharing
CAGPT:  Commercial information user right to know, delete, correct, and opt-out of sales or sharing
CAGPT:  Unique identifiers user right to request information, deletion, and opt-out from selling
CAGPT:  Financial information user right to request information, deletion, and opt-out from selling
CAGPT:  Purchase history user right to request information, deletion, and opt-out from selling
CAGPT:  Internet activity user right to request information, deletion, and opt-out from selling
CAGPT:  Geolocation data user right to request information, deletion, and opt-out from selling
CAGPT:  Identifiers user right includes the right to know, access, and delete
CAGPT:  Commercial information user right includes the right to know, access, and delete
CAGPT:  Internet or similar network activity user right includes the right to know, access, and delete
CAGPT:  Geolocation data user right includes the right to know, access, and delete
CAGPT:  Inferences drawn from other personal information user right includes the right to know, access, and delete
CAGPT:  Identifiers user right: Right to access, disclosure, portability, nondiscrimination, opt-out of sale/sharing, deletion
CAGPT:  Commercial Data user right: Right to access, disclosure, portability, nondiscrimination, opt-out of sale/sharing, deletion
CAGPT:  Financial Data user right: Right to access, disclosure, portability, nondiscrimination, opt-out of sale/sharing, deletion
CAGPT:  Internet Data user right: Right to access, disclosure, portability, nondiscrimination, opt-out of sale/sharing, deletion
CAGPT:  Geo-location Data user right: Right to access, disclosure, portability, nondiscrimination, opt-out of sale/sharing, deletion
CAGPT:  Inference Data user right: Right to access, disclosure, portability, nondiscrimination, opt-out of sale/sharing, deletion
CAGPT:  Profile Data user right: Right to access, disclosure, portability, nondiscrimination, opt-out of sale/sharing, deletion
CAGPT:  Associated Data user right: Right to access, disclosure, portability, nondiscrimination, opt-out of sale/sharing, deletion
CAGPT:  Identifiers user right - Access, deletion, correction
CAGPT:  Internet or other similar network activity user right - Access, deletion, correction
CAGPT:  Professional or employment-related information user right - Access, deletion, correction
CAGPT:  Technical Identifiers user right: Right to request access, deletion, and opt-out of sales
CAGPT:  Geolocation data user right: Right to request access, deletion, and opt-out of sales
CAGPT:  Inferences user right: Right to request access, deletion, and opt-out of sales
CAGPT:  Personal and online identifiers user right to know, delete, correct inaccuracies, opt-out of sale/sharing, and non-discriminatory treatment for exercising CCPA rights.
CAGPT:  Commercial or transactions information user right to know, delete, correct inaccuracies, opt-out of sale/sharing, and non-discriminatory treatment for exercising CCPA rights.
CAGPT:  Internet or other electronic network activity information user right to know, delete, correct inaccuracies, opt-out of sale/sharing, and non-discriminatory treatment for exercising CCPA rights.
CAGPT:  Biometric information user right to know, delete, correct inaccuracies, opt-out of sale/sharing, and non-discriminatory treatment for exercising CCPA rights.
CAGPT:  Geolocation information user right to know, delete, correct inaccuracies, opt-out of sale/sharing, and non-discriminatory treatment for exercising CCPA rights.
CAGPT:  Sensory information user right to know, delete, correct inaccuracies, opt-out of sale/sharing, and non-discriminatory treatment for exercising CCPA rights.
CAGPT:  Inferences drawn user right to know, delete, correct inaccuracies, opt-out of sale/sharing, and non-discriminatory treatment for exercising CCPA rights.
CAGPT:  Other information linked to the personal information user right to know, delete, correct inaccuracies, opt-out of sale/sharing, and non-discriminatory treatment for exercising CCPA rights.
CAGPT:  Identifiers user right includes Right to Know and Data Portability, and Right to Delete.
CAGPT:  Commercial information user right includes Right to Know and Data Portability, and Right to Delete.
CAGPT:  Internet or other similar network activity user right includes Right to Know and Data Portability, and Right to Delete.
CAGPT:  Identifiers user right includes the right to know, right to delete, and data portability
CAGPT:  Commercial information user right includes the right to know, right to delete, and data portability
CAGPT:  Internet or other similar network activity user right includes the right to know, right to delete, and data portability
CAGPT:  Sensory data user right includes the right to know, right to delete, and data portability
CAGPT:  Identifiers user right to request disclosure, correction or deletion
CAGPT:  Identifiers and professional or employment-related information user right: Request disclosure, deletion, correction, and access.
CAGPT:  Sensory or Surveillance Data user right: Request disclosure, deletion, correction, and access.
CAGPT:  Professional or employment-related information user right
CAGPT:  Identifiers user right includes right to know, delete, correct, and opt-out of sales or sharing.
CAGPT:  Demographic information user right includes right to know, delete, correct.
CAGPT:  Commercial information user right includes right to know, delete, correct.
CAGPT:  Internet or other electronic network activity user right includes right to know, delete, correct, and opt-out of sales or sharing.
CAGPT:  Geolocation information user right includes right to know, delete, correct, and opt-out of sales or sharing.
CAGPT:  Identifiers user right to access specific information and portability
CAGPT:  Geolocation data user right to access specific information and portability
CAGPT:  Sensory data user right to deletion
CAGPT:  Identifiers user right to know and data portability
CAGPT:  Geolocation data user right to know and data portability
CAGPT:  Identifiers user right to request deletion
CAGPT:  Internet activity information user right to request deletion
CAGPT:  Geolocation data user right to request deletion
CAGPT:  Unique identifiers user right to request information, deletion, and opt-out of sale
CAGPT:  Financial information user right to request information, deletion, and opt-out of sale
CAGPT:  Purchase history user right to request information, deletion, and opt-out of sale
CAGPT:  Internet activity user right to request information, deletion, and opt-out of sale
CAGPT:  Geolocation data user right to request information, deletion, and opt-out of sale
CAGPT:  Identifiers user right: Right to access, delete, correct, and opt out of sale or sharing.
CAGPT:  Commercial information user right: Right to access, delete, correct, and opt out of sale or sharing.
CAGPT:  Internet or other electronic network activity information user right: Right to access, delete, correct, and opt out of sale or sharing.
CAGPT:  Geolocation data user right: Right to access, delete, correct, and opt out of sale or sharing.
CAGPT:  Inferences user right: Right to access, delete, correct, and opt out of sale or sharing.
CAGPT:  Identifiers user right to know, delete, correct
CAGPT:  Commercial information user right to know, delete, correct
CAGPT:  Internet or other electronic network activity information user right to know, delete, correct
CAGPT:  Geolocation data user right to know, delete, correct
CAGPT:  Sensory information user right to know, delete, correct
CAGPT:  Professional or Employment-Related Information user right to know, delete, correct
CAGPT:  Profile information user right to know, delete, correct
CAGPT:  Internet or other electronic network activity information user right includes the right to know what personal information is being collected, the right to access, and the right to equal service and price even after exercising privacy rights.
CAGPT:  Unique identifiers user right to request information collected, delete, and opt-out of selling
CAGPT:  Financial information user right to request information collected, delete, and opt-out of selling
CAGPT:  Purchase history user right to request information collected, delete, and opt-out of selling
CAGPT:  Identifiers user right to access, data portability, and deletion.
CAGPT:  Commercial information user right to access, data portability, and deletion.
CAGPT:  Internet or other similar network activity user right to access, data portability, and deletion.
CAGPT:  Identifiers user right: Right to know, access, and deletion.
CAGPT:  Commercial information user right: Right to know, access, and deletion.
CAGPT:  Inferences drawn from personal information user right: Right to know and opt-out of sale/sharing.
CAGPT:  Identifiers user right to request deletion and access
CAGPT:  Internet or other electronic network activity information user right to opt-out of data collection and sale
CAGPT:  Professional or employment-related information user right to access and update
CAGPT:  Identifiers user right to request disclosure, deletion, and correction
CAGPT:  Internet or other electronic network activity information user right to request disclosure, deletion, and correction
CAGPT:  Geolocation data user right to request disclosure, deletion, and correction
CAGPT:  Inferences user right to request disclosure, deletion, and correction
CAGPT:  Identifiers user right to access, know, opt-out, delete, correct
CAGPT:  Commercial information user right to access, know, opt-out, delete, correct
CAGPT:  Internet or other electronic network activity information user right to access, know, opt-out, delete, correct
CAGPT:  Geolocation data user right to access, know, opt-out, delete, correct
CAGPT:  Professional or employment-related information user right to access, know, opt-out, delete, correct
CAGPT:  Right to know and request deletion of Identifiers
CAGPT:  Right to know and request deletion of Internet or other similar network activity
CAGPT:  Right to know and request deletion of Geolocation data
CAGPT:  Identifiers user right: Right to request access, correction, or deletion
CAGPT:  Commercial information user right: Right to request access, correction, or deletion
CAGPT:  Internet or Other Electronic Network Activity Information user right: Right to request access, correction, or deletion
CAGPT:  Geolocation Data user right: Right to request access, correction, or deletion
CAGPT:  Professional or Employment-Related Information user right: Right to request access, correction, or deletion
CAGPT:  Inferences user right: Right to request access, correction, or deletion
CAGPT:  Unique identifiers right to request access and deletion
CAGPT:  Internet activity right to request access and deletion
CAGPT:  Geolocation data right to request access and deletion
CAGPT:  Identifiers user right to request access and deletion
CAGPT:  Internet or Similar Network Activity user right to request access and deletion
CAGPT:  Geolocation Data user right to request access and deletion
CAGPT:  Inferences Drawn From Other Personal Information user right to request access and deletion
CAGPT:  Internet or other electronic network activity information user right  
CAGPT:  Identifiers user right to request disclosure and deletion
CAGPT:  Commercial information user right to request disclosure and deletion
CAGPT:  Internet or other similar network activity user right to request disclosure and deletion
CAGPT:  Inferences drawn from other personal information user right to request disclosure and deletion
CAGPT:  Identifiers user right: Right to Know/Access, Right to Delete, Right to Correct, Right to Opt-Out, Right to Non-Discrimination.
CAGPT:  Sensitive Personal Information user right: Right to Know/Access, Right to Delete, Right to Correct, Right to Opt-Out, Right to Non-Discrimination.
CAGPT:  Identifiers user right to know, delete, correct
CAGPT:  Identity Data user right includes right to access, data portability, and deletion
CAGPT:  Commercial Data user right includes right to access, data portability, and deletion
CAGPT:  Internet Use Data user right includes right to access, data portability, and deletion
CAGPT:  Identifiers user right includes the right to access and delete
CAGPT:  Commercial information user right includes the right to access and delete
CAGPT:  Internet or other similar network activity user right includes the right to access and delete
CAGPT:  Professional or employment-related information user right includes the right to access and delete
CAGPT:  Identifiers user right: Right to access, right to nondiscrimination, right to opt-out of sale/sharing, right to deletion
CAGPT:  Commercial Data user right: Right to access, right to nondiscrimination, right to opt-out of sale/sharing, right to deletion
CAGPT:  Financial Data user right: Right to access, right to nondiscrimination, right to opt-out of sale/sharing, right to deletion
CAGPT:  Internet Data user right: Right to access, right to nondiscrimination, right to opt-out of sale/sharing, right to deletion
CAGPT:  Geo-location Data user right: Right to access, right to nondiscrimination, right to opt-out of sale/sharing, right to deletion
CAGPT:  Inference Data user right: Right to access, right to nondiscrimination, right to opt-out of sale/sharing, right to deletion
CAGPT:  Profile Data user right: Right to access, right to nondiscrimination, right to opt-out of sale/sharing, right to deletion
CAGPT:  Associated Data user right: Right to access, right to nondiscrimination, right to opt-out of sale/sharing, right to deletion
CAGPT:  Identifiers user right to request access, deletion, and to opt-out of sale
CAGPT:  Commercial Data user right to request access, deletion, and to opt-out of sale
CAGPT:  Financial Data user right to request access, deletion, and to opt-out of sale
CAGPT:  Internet Data user right to request access, deletion, and to opt-out of sale
CAGPT:  Geo-location Data user right to request access, deletion, and to opt-out of sale
CAGPT:  Identifiers user right: Right to know, right to delete, and right to opt-out of sale.
CAGPT:  Commercial information user right: Right to know, right to delete, and right to opt-out of sale.
CAGPT:  Identifiers user right to know, request deletion
CAGPT:  Internet or similar network activity user right to know, request deletion
CAGPT:  Profession and Employment Related Information user right is to request access, correction, or deletion
CAGPT:  Internet and Other Electronic Identifiers user right is to request access, correction, or deletion
CAGPT:  Geolocation Data user right is to request access, correction, or deletion
CAGPT:  Sensory Information user right is to request access, correction, or deletion
CAGPT:  Identifiers user right to request disclosure, deletion, and correction
CAGPT:  Internet or other electronic network activity information user right to request disclosure, deletion, and correction
CAGPT:  Geolocation data user right to request disclosure, deletion, and correction
CAGPT:  Inferences user right to request disclosure, deletion, and correction
CAGPT:  Identifiers user right to know, correct, delete, opt-out of sale or sharing, and limit use 
CAGPT:  Customer Records Information user right to know, correct, delete, opt-out of sale or sharing, and limit use 
CAGPT:  Transaction Information user right to know, correct, delete, opt-out of sale or sharing, and limit use 
CAGPT:  Online Use Information user right to know, correct, delete, opt-out of sale or sharing, and limit use 
CAGPT:  Geolocation Data user right to know, correct, delete, opt-out of sale or sharing, and limit use 
CAGPT:  Employment Information user right to know, correct, delete, opt-out of sale or sharing, and limit use 
CAGPT:  Inferences user right to know, correct, delete, opt-out of sale or sharing, and limit use
CAGPT:  Identifiers user right includes right to know, access, delete, correct, and opt-out of selling/sharing
CAGPT:  Internet or other network activity information user right includes right to know, access, delete, correct, and opt-out of selling/sharing
CAGPT:  Professional or employment-related information user right includes right to know, access, delete, correct, and opt-out of selling/sharing
CAGPT:  Unique identifiers user right: Right to request information on the collection, Right to request deletion, Right to opt-out of the sale
CAGPT:  Financial information user right: Right to request information on the collection, Right to request deletion, Right to opt-out of the sale
CAGPT:  Purchase history user right: Right to request information on the collection, Right to request deletion, Right to opt-out of the sale
CAGPT:  Identifiers user right to request disclosure, data portability, and deletion
CAGPT:  Commercial information user right to request disclosure, data portability, and deletion
CAGPT:  Internet or other similar network activity information user right to request disclosure, data portability, and deletion
CAGPT:  Geolocation data user right to request disclosure, data portability, and deletion
CAGPT:  Sensory data user right to request disclosure, data portability, and deletion
CAGPT:  Identifiers user right to access, correct, delete, and restrict processing.
CAGPT:  Commercial Information user right to access, correct, delete, and restrict processing.
CAGPT:  Identifiers user right to know, delete, correct, opt-out of sale or sharing, and limit use or disclosure
CAGPT:  Commercial information user right to know, delete, correct, opt-out of sale or sharing, and limit use or disclosure
CAGPT:  Internet or other similar network activity user right to know, delete, correct, opt-out of sale or sharing, and limit use or disclosure
CAGPT:  Geolocation data user right to know, delete, correct, opt-out of sale or sharing, and limit use or disclosure
CAGPT:  Sensory data user right to know, delete, correct, opt-out of sale or sharing, and limit use or disclosure
CAGPT:  Inferences drawn from other personal information user right to know, delete, correct, opt-out of sale or sharing, and limit use or disclosure
CAGPT:  Sensitive personal information user right to know, delete, correct, opt-out of sale or sharing, and limit use or disclosure
CAGPT:  Identifiers user right: Access to specific information and data portability rights.
CAGPT:  Identifiers user right: Request to know, request to delete, and the right to opt-out of sale
CAGPT:  Internet or other electronic network activity information user right: Request to know, request to delete, and the right to opt-out of sale
CAGPT:  Geolocation data user right: Request to know, request to delete, and the right to opt-out of sale
CAGPT:  Professional or employment-related information user right: Request to know, request to delete, and the right to opt-out of sale
CAGPT:  Identifiers user right to know, delete, opt-out 
CAGPT:  Commercial Information user right to know, delete, opt-out 
CAGPT:  Internet or other similar network activity user right to know, delete, opt-out 
CAGPT:  Geolocation data user right to know, delete, opt-out 
CAGPT:  Inferences user right to know, delete, opt-out
CAGPT:  Identifiers user right includes accessing, correcting, deleting, and portability of data.
CAGPT:  Geolocation data user right includes requesting access, correction, deletion, and data portability.
CAGPT:  Identifiers user right to access, delete, and opt-out
CAGPT:  Online Activity user right to access, delete, and opt-out
CAGPT:  Inferences user right to access, delete, and opt-out
CAGPT:  Identifiers user right to know, correct, delete and opt-out of sale or sharing.
CAGPT:  Personal Records user right to know, correct, delete and opt-out of sale or sharing.
CAGPT:  Commercial Information user right to know, correct, delete and opt-out of sale or sharing.
CAGPT:  Internet or other electronic network activity information user right to know, correct, delete and opt-out of sale or sharing.
CAGPT:  Geolocation data user right to know, correct, delete and opt-out of sale or sharing.
CAGPT:  Professional or employment-related information user right to know, correct, delete and opt-out of sale or sharing.
CAGPT:  Education information user right to know, correct, delete and opt-out of sale or sharing.
CAGPT:  Sensitive personal information user right to know, correct, delete and opt-out of sale or sharing.
CAGPT:  Identifiers user right to access, correct, delete, and restrict the sale, use, and disclosure
CAGPT:  Commercial Information user right to access, correct, delete, and restrict the sale, use, and disclosure
CAGPT:  Geolocation Data user right to access, correct, delete, and restrict the sale, use, and disclosure
CAGPT:  Sensory Data user right to access, correct, delete, and restrict the sale, use, and disclosure
CAGPT:  Professional or Employment Information user right to access, correct, delete, and restrict the sale, use, and disclosure
CAGPT:  Identifiers user right to access and data portability
CAGPT:  Professional or employment-related information user right to update or correct
